,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,SMART,ATNF Period (s) log,ATNF Pdot log,ATNF Spin Frequency (Hz) log,ATNF Fdot log,ATNF DM log,ATNF B_surf (G) log,ATNF B_LC (G) log,ATNF E_dot (ergs/s) log,L400 (mJy kpc^2) log,L1400 (mJy kpc^2) log,Age (Yr) log,vb log,u_vb log,vc log,u_vc log,vpeak log,u_vpeak log
c,-0.0010301894459707835,-0.0034889916688470727,-0.01267202432598297,-0.003088924511946957,-0.03778162592226153,-0.007045356754162109,-0.0016798658113752487,-0.0021485640840967417,-0.06229428428236698,-0.042591147727036476,0.04220517137341304,0.07796796301585344,-0.06301644147879322,-0.005372494047328911,-0.0018160213884920568,-0.011019172054513578,-0.1690939423457615,-0.017121435791165106,1.0,0.9999998738114096,-0.15298952056620144,-0.05632328020391158,0.4109496956301074,0.8058110721684852,-0.03178319649133084,-0.01718436691381584,-0.015507161575422913,-0.022571161642744118,-0.054531023506896044,-0.012777773900630422,-0.199676278158453,-0.12729099936123583,0.02824711317564528,0.01290765795238684,0.007140584721507571,-0.01290765795238684,-0.0038447519759688418,-0.05973486015071115,0.009228708751640616,0.011862329467822301,-0.00941147141707175,0.008605504401790025,0.022094196110590048,-0.002847613315744469,-0.28494659379560033,0.015475614372114033,0.020749818842714162,-0.02830729908293054,-0.018086195855983665,0.03646972381613752
u_c,-0.001041774727015554,-0.0034876609657600757,-0.01266695071984999,-0.003087748162227907,-0.037767394197731334,-0.0070431342272004325,-0.0016792367805632843,-0.002147753395066508,-0.06230421680660836,-0.042575139740076276,0.042207974777194,0.07795542852647541,-0.06299270235858313,-0.00536975674857383,-0.0018151695147973028,-0.011015112128211905,-0.16901479761496102,-0.017306150573373542,0.9999998738114096,1.0,-0.14620628632490199,-0.04512559133351518,0.2760288582720177,0.31025744695762675,-0.03184575885121473,-0.04804153275257114,-0.015498113699992445,-0.022458787329813146,-0.05449920214770124,-0.0127492496732839,-0.19960238091086271,-0.12724255617332297,0.028202003855074115,0.012892665581612547,0.007139796395890011,-0.012892665581612563,-0.0038289429022703085,-0.05971221925543417,0.009223612477549235,0.011850414708378726,-0.00939092793838812,0.008607730634975653,0.02210199317610885,-0.0028542802461986464,-0.31170896555200417,-0.02086566357059146,0.021003848486125663,-0.027775877880647705,-0.018050219149627764,0.03648887419433155
vb,-0.1909429516680562,-0.06892214017715448,0.4878064461808711,-0.07101413520590599,-0.004949060695183639,-0.1380770099824371,-0.06983421780702245,-0.07180019589377865,0.05455132102949009,0.08455496334685823,-0.010746962379077674,0.07308977176174611,-0.1292462369836298,-0.0657469744442313,-0.030545866501002897,0.25438675549517903,,,-0.15298952056620144,-0.14620628632490199,1.0,0.5915443506509581,-0.22077614370939963,-0.24342675071065387,0.024864915292192532,0.13945599647752088,,,,,,,0.00620916970252154,-0.3526897520686099,-0.23973725027469608,0.35268975206860936,0.05190958195791875,-0.1504282025949022,-0.2877911548641155,-0.34121973899791513,0.21210067749314662,-0.1756149884151963,-0.053722055961986724,0.1333912885786253,0.834805082477525,0.05711105729847452,,,,
u_vb,-0.08577596035750955,-0.01672673158291139,-0.027154879967371225,-0.031594552372391026,-0.14848964092599432,-0.0184339258332764,-0.027429782039353517,-0.03218952737978357,-0.21758635125433287,0.016474284258572627,-0.023689504704493495,-0.07565989295011581,-0.08080695470862805,-0.06984955561326317,-0.0477035927702699,-7.418161453393238e-05,,,-0.05632328020391158,-0.04512559133351518,0.5915443506509581,1.0,-0.022954526489352377,-0.018723011211011806,0.06373431548666669,0.050392510492395015,,,,,,,-0.09731073783444819,-0.04898041450181776,0.06505796389790561,0.04898041450181791,0.15001266352022075,-0.137697209440592,0.03501578986935535,-0.01951283803167503,0.1496924476376589,-0.16938176526658283,-0.06702444696001414,-0.11010432276512645,0.36808505374890876,0.4886692236166971,,,,
a1,0.041811509479549216,0.28771527706004085,-0.2973376052534266,0.2652272379471681,0.1321763427503192,0.18285788780338508,0.054730552519305586,0.2635245626837936,-0.16125983466876928,0.10850131972815236,-0.010895784571874413,-0.03357838912764448,0.018409123086271375,0.18213843612733455,0.2460796878049064,-0.27564718743209066,,,0.4109496956301074,0.2760288582720177,-0.22077614370939963,-0.022954526489352377,1.0,0.38363026965806407,-0.31242528636060535,-0.2984622913874322,,,,,,,0.06629173435219461,0.21425625533246212,0.3797457057817519,-0.21425625533246195,0.30838107740250525,0.16526314126808433,0.35331374690900724,0.2736384126708791,0.15734988167213892,0.23053712228399303,0.26154838954799536,-0.3872106605979269,-0.28294404099417886,0.014508190369101694,,,,
u_a1,-0.03562171844466007,-0.025143126883510374,-0.09367220487200743,0.0034675618737860293,-0.07753154081698299,-0.008686819687600744,-0.04123686361822897,0.005795235900997385,-0.4255213774178789,0.07539238037735303,-0.08092788789577415,-0.20978430704720027,-0.09284578189238607,0.0032224116672998683,-0.05860335789175514,-0.08053183334008136,,,0.8058110721684852,0.31025744695762675,-0.24342675071065387,-0.018723011211011806,0.38363026965806407,1.0,0.00031602947766069686,-0.015588278981164532,,,,,,,0.13678914443279203,0.05119285460746237,0.09777977118772958,-0.05119285460746227,0.08391299555741544,-0.02833125217542724,0.08979015240662386,0.06737817716317109,0.04620995290473616,-0.1238714746787277,-0.19403755490642763,-0.10173250297107819,-0.4249822974453054,0.3022707587888716,,,,
a2,-0.052951300981090584,-0.07210303134301367,0.04973994124184517,-0.10446180440872148,-0.1312834756160659,-0.1179766954016404,0.006692185947877747,-0.10710955318869023,0.23165655915636935,-0.10252200936602258,0.019341368462569685,0.012870619146748566,0.12125006698543374,-0.07203443880651852,0.004295529339100276,0.048618138360408514,,,-0.03178319649133084,-0.03184575885121473,0.024864915292192532,0.06373431548666669,-0.31242528636060535,0.00031602947766069686,1.0,-0.05496396638313404,,,,,,,-0.18103699113772864,-0.10902252699790495,-0.10497351890103193,0.10902252699790492,-0.028771063863469157,-0.02213917425293899,-0.11249385774859484,-0.11422507605419155,0.027829181602803617,-0.13643760172127795,-0.1082594396230897,0.08160232872237776,-0.006205949401913513,0.10633167209971166,,,,
u_a2,0.2653602379269267,-0.04890236970776258,-0.08856863024034023,-0.013403681741180286,0.01713782619297506,-0.028008156999563067,-0.02123484706618282,-0.011697331581851841,-0.17213776042411963,-0.02839262078970163,-0.05641295950692408,-0.15595796727037936,0.012554493310976186,-0.08921882374343544,-0.05973041496002012,-0.06508928501188772,,,-0.01718436691381584,-0.04804153275257114,0.13945599647752088,0.050392510492395015,-0.2984622913874322,-0.015588278981164532,-0.05496396638313404,1.0,,,,,,,0.07727564703877958,0.20260752734388196,0.03880009257814372,-0.20260752734388213,-0.1734491085972489,0.08641494029194116,0.0899089817631497,0.1679826659268055,-0.242775649566246,-0.14771593205679195,-0.30248956433982827,0.05274417825112522,0.20951206642531875,-0.05858821566840203,,,,
vc,-0.10229114747080026,0.025901240368503862,0.0799951370655963,-0.012111436763635162,-0.1045043033116522,0.0710955828249619,-0.05517164139127674,-0.014982882255171642,0.0703068702663985,-0.05620916332534789,0.7090710411758239,0.44120461495761215,-0.020246642663520747,-0.07594845031466572,-0.0478166229631719,0.24438887702398918,-0.47668390064323135,-0.10001016897210095,-0.015507161575422913,-0.015498113699992445,,,,,,,1.0,0.9745640118965779,-0.19632005737650182,-0.20650108751089738,0.07892407410773197,0.1889550872889304,0.11409890308708162,-0.13552875538312162,-0.0920088979408083,0.13552875538312162,0.04364027091361501,-0.18256852130951803,-0.11302368749661874,-0.13650553643728588,0.1056859488632977,-0.1569653782273641,-0.19280504537134718,0.043453247996534064,,,0.7398628748985855,0.2309537984491079,-0.004837968945910912,-0.07156899704588537
u_vc,-0.083883974039259,0.00715904049718927,0.10466025527276894,-0.023834224306201895,-0.15106573901191508,0.040508858231818184,-0.04867206110511567,-0.03009135737617034,0.10926712204882524,-0.12489859403944786,0.599813134990534,0.507652758076967,0.000260836126234978,-0.08095805771020248,-0.08303034818109752,0.30778328146483236,-0.47038233494788423,-0.07868839776533201,-0.022571161642744118,-0.022458787329813146,,,,,,,0.9745640118965779,1.0,-0.23276739810508013,-0.2250921646059142,0.2456991786648227,0.33047179691867573,0.15386615077330168,-0.1435509598265293,-0.14113005599708967,0.14355095982652927,-0.016023765164182555,-0.2502464358476928,-0.15269913700106394,-0.15749120471478678,0.06179454279777317,-0.1788594172480305,-0.2445595402717221,0.10429487769603805,,,0.7153326781192083,0.3234505645413844,-0.020282185867387472,-0.07295869891000746
vpeak,-0.21255212465468168,0.3429965915618582,0.03291008334798,0.46406689516711275,0.4432537018909542,0.2714052847130691,0.05717628101752728,0.4204713807082009,-0.19439641079469194,0.885939026342717,-0.03268807479034418,-0.2926892388067628,-0.11957752914970997,-0.0962706762081158,0.009924760021258071,0.014610506572015763,-0.06388037970841635,0.09952635866558295,-0.054531023506896044,-0.05449920214770124,,,,,,,-0.19632005737650182,-0.23276739810508013,1.0,0.5832809989792518,0.12005512759269395,0.10852913307943071,-0.32025586158005415,-0.16997409794388021,0.18556985274795287,0.1699740979438807,0.44638385040668643,0.4931151008762916,0.10249805878615866,-0.04070621899518252,0.47028738823838134,-0.44276547341782374,0.2826562246436292,-0.32643080175773626,,,-0.44561415407749105,-0.5797812855737747,0.8917311773839467,-0.1273866646311323
u_vpeak,-0.14913041854269754,0.28580007888104175,-0.1091800489036642,0.4540967457023685,0.6318443509347905,0.16654545381927835,-0.05106185369667627,0.3730905968931645,-0.33802175502108023,0.5585906826474426,-0.023555635785129377,-0.32848203915635493,-0.2217668535838105,-0.035608263626649164,0.08504205837763328,-0.08756253215001027,0.1865080696119805,0.042790644168234714,-0.012777773900630422,-0.0127492496732839,,,,,,,-0.20650108751089738,-0.2250921646059142,0.5832809989792518,1.0,0.12429908986716627,0.3460563650162789,-0.273059631472672,-0.007566348001166309,0.2171020194773182,0.0075663480011667105,0.40274927473199845,0.5058928646016962,0.15342812296257483,0.038711783261593004,0.35686786158326966,-0.19527984777534566,0.24353667224987371,-0.3188566382782129,,,-0.2982849308842784,-0.4438688698734875,0.5514467114250319,0.5949813825707843
