Pulsar,Model,Max freq (MHz),S5000 (mJy),S10000 (mJy),u_S5000 (mJy),u_S10000 (mJy)
J1651-5222,SPL,3100.0,0.293729207895362,0.0786772213227271,0.1258041715563651,0.0490906418082305
J1652-2404,SPL,1420.0,0.1897270688188123,0.0643729577007425,0.0166183318604626,0.0085645070520969
J1653-3838,SPL,3100.0,0.5673685123300927,0.3400683491997301,0.2439101551512418,0.2206310825862124
J1653-4249,SPL,3100.0,10.920011818793329,36.94353143869839,7.39055336275884,37.82751755768694
J1658-4958,SPL,3100.0,0.083552909892551,0.0163527563951141,0.0258996345067274,0.0077315908526002
J1659-1305,SPL,1420.0,0.0887955411598701,0.0274333949630468,0.0127326119711753,0.0058377465487595
J1659-4439,SPL,1460.04,0.1145233436605762,0.0553631105593408,0.156016447279301,0.1159465329050799
J1701-3726,SPL,3100.0,0.1904905886993126,0.0406512507648113,0.0921335528403042,0.0281089084828087
J1701-4533,SPL,3100.0,0.3341744425392597,0.1207092905313794,0.081379684007288,0.0424551171877033
J1702-4217,SPL,1460.26,0.1506386650969178,0.0498130742088285,0.2832345841582738,0.1439781212859976
J1702-4310,SPL,3100.0,0.2722109337889602,0.14671816155065,0.1044785189755849,0.0878310916479474
J1705-3423,SPL,4920.0,1.1248390277929712,0.5463694264885276,0.1647325799874904,0.1105003716970834
J1705-3950,LFTO,3100.0,0.5686789202661645,0.2630766823048842,0.2882704596349169,0.2158625430420851
J1707-4341,SPL,1522.1,0.0626295947168707,0.0195288143806968,0.0644943399731639,0.031196169268864
J1707-4729,SPL,3100.0,0.4825610186467422,0.1939984369077069,0.1829390947235785,0.1127835634026703
J1709+2313,SPL,1400.0,0.0296923820333505,0.0113012709939889,0.0073604674790896,0.0035730612897538
J1709-3626,SPL,1460.04,0.1888366460877175,0.1024959180110133,0.2450252721247195,0.2040952775763348
J1711-1509,SPL,4850.0,0.0741288377283511,0.0224118897442752,0.0132912151073974,0.0053286170613255
J1711-5350,SPL,3100.0,0.0637374557970113,0.0160441401038517,0.0210443437914449,0.0080919833444396
J1713+0747,BPL,4850.0,0.7366719152157265,0.1256963472254303,0.0521044677011689,0.0209179712215235
J1715-3903,SPL,3100.0,0.2249253390458353,0.1303294956774154,0.0635554533539204,0.0584575375020262
J1715-4034,SPL,3100.0,0.1285453563621256,0.0298031904073193,0.0361978444120577,0.0129192851521809
J1717-3425,LFTO,3100.0,0.1521667218310428,0.0282368509164028,0.0479646436446325,0.0133675979776796
J1717-4054,SPL,3100.0,0.0677591841206203,0.0139955570492592,0.044587371288593,0.0132325732968903
J1718-3825,SPL,3100.0,1.86006186173054,2.039502494848457,0.5588636812863137,0.8940478216017322
