Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1157-6224,SPL,400.0,1932.8742886414136,379.7358840629861,728.8522485681356,90.03297492385413
J1210-5559,SPL,436.0,593.8751655418674,86.05522184001833,291.9890043336899,28.96899674934112
J1216-6223,SPL,1360.0,8.191652523860649,2.6567521974328545,3.653189452487384,0.8400657321159619
J1220-6318,SPL,1277.39,546.6594805739081,71.98336925063697,555.624926528181,50.11580921961544
J1225-6035,SPL,1278.75,13.33090854046781,4.139905288846094,26.032412873549298,5.540236200103465
J1225-6408,HFCO,400.0,22.85365874415303,20.19625656486845,0.2583131503269575,0.2282750577734059
J1237-6725,SPL,1277.19,12787.083494618912,597.7789516685984,13960.392231158808,446.8023634323266
J1243-6423,BPL,408.0,70.00298484947557,95.26865904685437,,
J1253-5820,SPL,436.0,114.95121249044216,39.787994262308274,66.62402841930468,15.125018765229338
J1259-6741,SPL,400.0,24.35255109972009,9.557052612288851,12.228040352105902,3.4168353410796963
J1301-6305,SPL,728.0,3.4397926695372107,1.8381494234205216,1.0913985989916246,0.4172328674524588
J1302-6350,HFCO,640.0,3.2611725088268906,3.2207725732666943,0.619162142020047,0.6027758339875803
J1303-6305,SPL,1277.16,480.1818132666552,46.99883938312527,1240.7071342551997,83.29040768577003
J1305-6203,SPL,728.0,12.28357302456156,4.921535931691228,5.280619442671653,1.5198016820146425
J1305-6455,SPL,400.0,423.74545280654166,83.08512981992324,293.5171531424302,36.37949823351983
J1306-6617,SPL,640.0,236.70500749353647,70.07928190886344,186.6945327878429,37.89326862623881
J1312-5516,SPL,400.0,181.11957309689183,50.30563473910791,78.09447146695969,14.884841990444334
J1314-6101,SPL,1277.1,525.6172765560069,63.09086452820957,643.098610196594,52.96233715699377
J1317-6302,SPL,728.0,90.75060034276235,22.88938125374594,38.92555873847999,6.953376951542215
J1319-6056,SPL,640.0,215.03451817030515,44.69438483304117,98.602451823942,13.715361602429526
J1319-6105,SPL,728.0,18.78399610544477,8.199742923397212,7.636519589613251,2.2942336969525563
J1326-5859,BPL,400.0,14.868159510770395,28.440470879915896,42.46491095676883,34.69915898829345
J1326-6408,SPL,400.0,395.4760646231626,78.63694167313423,134.7041094245633,18.420706968495317
J1326-6700,SPL,400.0,125.53892925571274,59.639865190595565,63.97887063034089,21.67298447831189
J1327-6301,SPL,640.0,274.31587270587085,72.6575401809544,153.9544763113813,28.016961881213
J1327-6400,SPL,728.0,3.3612247853582016,1.4280216937741093,1.8164989790695287,0.5654507348159337
