Pulsar,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),ANTF Binary (type),Model,Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),S150 (mJy),u_S150 (mJy),S300 (mJy),u_S300 (mJy),S5000 (mJy),u_S5000 (mJy),S10000 (mJy),u_S10000 (mJy),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,lps_a,lps_u_a,lps_b,lps_u_b,lps_c,lps_u_c,SMART
J1042-5521,1.1708672441092223,6.7175437970057995e-15,0.854067790376,-4.89999e-15,306.5,2837978231172.674,4.1910211892569035e+25,1.6521416279293427e+32,,simple_power_law,0.9971391142225797255,400.0,1577.0,5,False,110.9680581766781,5.040517818399369,160.53241577832418,115.87320915071074,29.01624702872515,14.325322607004177,0.028002825031908145,0.014067420853429293,0.005061512870709116,0.003698284380507737,2761615.344170943,-2.467931807473464,0.33882518035512565,0.002625058530218543,0.0005303862051797099,,,,,,,,,,,,,,,,,,,False
J1043-6116,0.2886052873879606,1.0404704839246337e-14,3.46493998447,-1.249169e-13,448.91,1753545351066.0098,3.878088177737135e+23,1.7087426182225508e+34,,simple_power_law,0.9999294289528544155,728.0,3100.0,5,True,50.223393968037946,11.6119615029334,16.93671873536461,4.018156293915592,7.532403047454263,1.3239408154020893,0.28094817364475033,0.033536651730714996,0.12494833930964903,0.02215469531003937,439481.45726569206,-1.1689722951588022,0.09358813152067424,0.0011457529363271548,7.59550294439997e-05,,,,,,,,,,,,,,,,,,,False
J1045-4509,0.007474224230144267,1.7664038011707278e-20,133.7931495240541,-3.16197e-16,58.1106,367686796.677709,1412421209784259.8,1.6701341606664726e+33,T2,high_frequency_cut_off_power_law,0.5907608208728845067,147.5,3100.0,14,False,1.9195398243905333,0.31199897729272646,59.03107831543612,3.966957059726899,24.246135972335676,1.0613797584924718,0.0,0.0,0.0,0.0,6704126021.173084,-1.2344987520693047,0.03804699868414152,0.009507458806445835,0.0002205494155672165,,,,,,,4622001827.126847,158847038.93009424,,,,,,,,,,,False
J1046-5813,0.36942808789417764,1.1465442189633704e-15,2.70688676029,-8.401e-15,240.2,658582731190.0211,3.054836017579962e+23,8.977611534215827e+32,,simple_power_law,0.88389030685692926426,400.0,3100.0,10,False,102.11460820935054,7.1501530356579694,149.54279344424415,56.52936333557555,34.34281572657725,8.909472949775692,0.08759687668666391,0.0194993323686797,0.0201168061996611,0.00686328197336227,5105110.425110216,-2.122478153653343,0.17114913841635704,0.002122728460668273,7.685505367041037e-05,,,,,,,,,,,,,,,,,,,False
J1047-3032,0.3303280523312809,6.100601228174452e-17,3.027293603866,-5.5909e-16,52.54,143651123040.32822,4.7635773654671685e+22,6.6818389605871385e+31,,simple_power_law,0.999957787218478944,151.5,1360.0,5,False,24.226646599136448,4.216259568870734,20.71935748498487,6.030481611018654,7.874501642969645,1.451723412180117,0.15519076819343794,0.08292627059889277,0.05898107409935647,0.0400117176777554,85790432.2722227,-1.3957187381765546,0.2152736331924232,0.004417705490834036,0.0006976862658012025,,,,,,,,,,,,,,,,,,,False
J1047-6709,0.1984514505627,1.68714e-15,5.039015825606444,-4.283931982310016e-14,116.156,585534755099.6526,4.210205930369707e+22,8.522127467789096e+33,,simple_power_law,0.9998974329019812979,400.0,3100.0,5,False,17.199273706337756,7.951625026451639,10.100564190842595,5.179163490349579,6.591160580193587,2.4486100245238114,1.1654911979012876,0.37434590619241276,0.7605455987433053,0.3492752267304812,1863670.7659863029,-0.6158314560156187,0.21870295378901566,0.0029389399149447643,0.0004873115785220094,,,,,,,,,,,,,,,,,,,False
J1048-5832,0.12372534335125973,9.612174612032114e-14,8.0824184675,-6.2792e-12,128.679,3489716427916.9697,6.08070547375843e+22,2.0035739898292808e+36,,high_frequency_cut_off_power_law,0.98778915174841197544,640.0,17000.0,12,True,140.14339246996906,75.57336847077897,26.23664836219223,7.117378151897481,19.064167296092645,3.622474165389597,4.045691069481594,0.6300187361881584,1.919108927567668,0.4004879001553189,20394.029983745484,-0.4493102099302252,0.12131746302933247,0.0065954052450697504,0.0008143021950578547,,,,,,,19191780505.352688,1071037067.221323,,,,,,,,,,,False
J1052-5954,0.180591500693,1.99831e-14,5.5373591567853975,-6.127287349700139e-13,491.9,1922339379484.8628,1.0416212008696008e+23,1.339462864227335e+35,,simple_power_law,1.0,1360.0,3100.0,4,True,4.620106362024115,1.450514161402108,1.1584577671008733,0.4687088055589574,0.610240482785778,0.18099474587636505,0.04524696716417301,0.007582908604845797,0.023834732582403144,0.006497273758523023,143185.97545994,-0.9247556548178619,0.15836607874185954,0.00010304472289316888,6.585374828538195e-06,,,,,,,,,,,,,,,,,,,False
J1055-6028,0.09966083348,2.95322e-14,10.034032077412643,-2.9733550460024277e-12,636.5,1736041633859.629,1.5809622803477275e+22,1.1778283212498299e+36,,simple_power_law,1.0,728.0,3100.0,4,True,57.9126159902044,7.271963230170494,20.039793674693538,8.069524603237864,6.357808473060863,1.939098864733757,0.06020057831730811,0.009091028542688243,0.019099186005706155,0.0045730841364221885,53468.09995417809,-1.6562661934206802,0.14600485295294496,0.00044110475399061907,4.732743476946338e-05,,,,,,,,,,,,,,,,,,,False
J1056-6258,0.4224505316190333,3.577498398080676e-15,2.36714106186,-2.0046e-14,320.62,1244020774158.8047,8.628653770817131e+23,1.8733184126055755e+33,,low_frequency_turn_over_power_law,0.7462728763356005768,400.0,8356.0,12,False,270.7978951631875,178.17369359521444,0.005608770179854095,0.028350826186413304,20.146297562504966,18.41891265629703,5.291236915397968,1.1367226982842638,1.9242360156482832,0.6904140357258697,1870951.158246369,-1.46773507229302,0.22786194193878095,0.02334396714542421,0.002736226064254995,,,,,,,,,580943614.1280004,95971313.21723047,2.0999999993636895,1.3801451354061118,,,,,,,False
J1057-5226,0.19711468957450884,5.838698469538374e-15,5.07318862008,-1.50272e-13,29.69,1085594157139.0431,7.649134469727145e+22,3.009669539620754e+34,,low_frequency_turn_over_power_law,0.40357037134647294474,151.5,3100.0,12,False,0.7955069942736606,0.04177341187215355,209.4663629565783,13.605078752816933,155.8102269810643,56.76112397737701,0.19555525111774344,0.1419875718192138,0.033845403350802855,0.03527749926622039,534895.5443802817,-2.53187858565053,0.45803674338147404,0.02999260824174976,0.006338063912435131,,,,,,,,,186410173.1806734,27120886.2544958,2.099999999756487,1.6597989746866777,,,,,,,True
